 time            in              mid            
 0.00000000e+00  0.00000000e+00  0.00000000e+00 
 3.00000000e-11  1.00000000e-01  6.38297866e-10 
 6.00000000e-11  2.00000000e-01  1.91489359e-09 
 1.20000000e-10  4.00000000e-01  5.74468076e-09 
 2.40000000e-10  8.00000000e-01  2.10638292e-08 
 4.80000000e-10  1.60000000e+00  8.23404211e-08 
 9.60000000e-10  3.20000000e+00  3.27446773e-07 
 1.92000000e-09  6.40000000e+00  1.30787206e-06 
 3.00000000e-09  1.00000000e+01  3.19212662e-06 
 3.19200000e-09  1.00000000e+01  3.60063704e-06 
 3.57600000e-09  1.00000000e+01  4.41765784e-06 
 4.34400000e-09  1.00000000e+01  6.05169913e-06 
 5.88000000e-09  1.00000000e+01  9.31978055e-06 
 8.95200000e-09  1.00000000e+01  1.58559387e-05 
 1.50960000e-08  1.00000000e+01  2.89282361e-05 
 2.73840000e-08  1.00000000e+01  5.50727556e-05 
 5.19600000e-08  1.00000000e+01  1.07361493e-04 
 1.01112000e-07  1.00000000e+01  2.11937763e-04 
 1.99416000e-07  1.00000000e+01  4.21085481e-04 
 3.96024000e-07  1.00000000e+01  8.39361634e-04 
 7.89240000e-07  1.00000000e+01  1.67583680e-03 
 1.57567200e-06  1.00000000e+01  3.34847866e-03 
 3.14853600e-06  1.00000000e+01  6.69252882e-03 
 6.29426400e-06  1.00000000e+01  1.33756979e-02 
 1.25857200e-05  1.00000000e+01  2.67223356e-02 
 2.51686320e-05  1.00000000e+01  5.33370021e-02 
 5.03344560e-05  1.00000000e+01  1.06253440e-01 
 1.00666104e-04  1.00000000e+01  2.10846949e-01 
 2.01329400e-04  1.00000000e+01  4.15172507e-01 
 4.02655992e-04  1.00000000e+01  8.05119493e-01 
 8.02655992e-04  1.00000000e+01  1.51132840e+00 
 1.20265599e-03  1.00000000e+01  2.13441235e+00 
 1.60265599e-03  1.00000000e+01  2.68415565e+00 
 2.00265599e-03  1.00000000e+01  3.16919092e+00 
 2.40265599e-03  1.00000000e+01  3.59713468e+00 
 2.80265599e-03  1.00000000e+01  3.97470694e+00 
 3.20265599e-03  1.00000000e+01  4.30783671e+00 
 3.60265599e-03  1.00000000e+01  4.60175515e+00 
 4.00265599e-03  1.00000000e+01  4.86107766e+00 
 4.40265599e-03  1.00000000e+01  5.08987637e+00 
 4.80265599e-03  1.00000000e+01  5.29174413e+00 
 5.20265599e-03  1.00000000e+01  5.46985087e+00 
 5.60265599e-03  1.00000000e+01  5.62699339e+00 
 6.00265599e-03  1.00000000e+01  5.76563931e+00 
 6.40265599e-03  1.00000000e+01  5.88796579e+00 
 6.80265599e-03  1.00000000e+01  5.99589372e+00 
 7.20265599e-03  1.00000000e+01  6.09111789e+00 
 7.60265599e-03  1.00000000e+01  6.17513362e+00 
 8.00265599e-03  1.00000000e+01  6.24926021e+00 
 8.40265599e-03  1.00000000e+01  6.31466165e+00 
 8.80265599e-03  1.00000000e+01  6.37236496e+00 
 9.20265599e-03  1.00000000e+01  6.42327626e+00 
 9.60265599e-03  1.00000000e+01  6.46819499e+00 
 1.00026560e-02  1.00000000e+01  6.50782652e+00 
 1.04026560e-02  1.00000000e+01  6.54279319e+00 
 1.08026560e-02  1.00000000e+01  6.57364407e+00 
 1.12026560e-02  1.00000000e+01  6.60086363e+00 
 1.16026560e-02  1.00000000e+01  6.62487928e+00 
 1.20026560e-02  1.00000000e+01  6.64606815e+00 
 1.24026560e-02  1.00000000e+01  6.66476296e+00 
 1.28026560e-02  1.00000000e+01  6.68125728e+00 
 1.32026560e-02  1.00000000e+01  6.69581013e+00 
 1.36026560e-02  1.00000000e+01  6.70865002e+00 
 1.40026560e-02  1.00000000e+01  6.71997858e+00 
 1.44026560e-02  1.00000000e+01  6.72997370e+00 
 1.48026560e-02  1.00000000e+01  6.73879233e+00 
 1.52026560e-02  1.00000000e+01  6.74657296e+00 
 1.56026560e-02  1.00000000e+01  6.75343777e+00 
 1.60026560e-02  1.00000000e+01  6.75949454e+00 
 1.64026560e-02  1.00000000e+01  6.76483840e+00 
 1.68026560e-02  1.00000000e+01  6.76955325e+00 
 1.72026560e-02  1.00000000e+01  6.77371314e+00 
 1.76026560e-02  1.00000000e+01  6.77738339e+00 
 1.80026560e-02  1.00000000e+01  6.78062162e+00 
 1.84026560e-02  1.00000000e+01  6.78347870e+00 
 1.88026560e-02  1.00000000e+01  6.78599948e+00 
 1.92026560e-02  1.00000000e+01  6.78822355e+00 
 1.96026560e-02  1.00000000e+01  6.79018583e+00 
 2.00000000e-02  1.00000000e+01  6.79190632e+00 
